epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,409.391,1.6575,0.84495,1.38501,0.92802,0.9359,0.96477,0.5075,1.5329,0.71283,1.46953,0.000665045,0.000665045,0.000665045
2,754.272,1.6145,0.71766,1.38443,0.93847,0.95022,0.96669,0.53922,1.56143,0.63021,1.52857,0.00131853,0.00131853,0.00131853
3,1072.06,1.65265,0.71333,1.41172,0.93689,0.94331,0.96343,0.56187,1.47819,0.61302,1.45651,0.00195881,0.00195881,0.00195881
4,1406.55,1.6093,0.68034,1.3939,0.92799,0.97269,0.97723,0.56329,1.46741,0.57165,1.44455,0.0019406,0.0019406,0.0019406
5,1704.89,1.58158,0.6582,1.39268,0.94259,0.96478,0.97735,0.5599,1.4575,0.57306,1.43255,0.0019208,0.0019208,0.0019208
6,1938.83,1.54381,0.62431,1.35858,0.94795,0.96941,0.97747,0.57272,1.44638,0.5343,1.42217,0.001901,0.001901,0.001901
7,2155.56,1.54088,0.62088,1.35947,0.95479,0.94911,0.96418,0.56571,1.48116,0.56876,1.45638,0.0018812,0.0018812,0.0018812
8,2374.14,1.53579,0.60806,1.34551,0.94768,0.97038,0.98125,0.5896,1.43849,0.5189,1.41862,0.0018614,0.0018614,0.0018614
9,2595.86,1.53171,0.60848,1.33249,0.95752,0.96889,0.98369,0.59911,1.43079,0.52437,1.41745,0.0018416,0.0018416,0.0018416
10,2810.29,1.50462,0.59167,1.31809,0.95656,0.97426,0.98789,0.61403,1.40631,0.50192,1.39881,0.0018218,0.0018218,0.0018218
11,3022.5,1.50892,0.59021,1.32402,0.96049,0.97476,0.98807,0.60948,1.40855,0.50067,1.40061,0.001802,0.001802,0.001802
12,3226.18,1.49366,0.57719,1.33659,0.9617,0.96355,0.98645,0.5948,1.44157,0.53612,1.40411,0.0017822,0.0017822,0.0017822
13,3410.63,1.48884,0.57658,1.32639,0.96742,0.97499,0.98856,0.59641,1.39521,0.50232,1.39735,0.0017624,0.0017624,0.0017624
14,3608.63,1.47126,0.56801,1.31954,0.95852,0.97446,0.98693,0.61405,1.38244,0.49056,1.38395,0.0017426,0.0017426,0.0017426
15,3804.36,1.48141,0.57585,1.31283,0.95848,0.98156,0.98918,0.61795,1.39546,0.47735,1.39193,0.0017228,0.0017228,0.0017228
16,3995.32,1.46485,0.56972,1.31481,0.96639,0.97388,0.98889,0.59521,1.41872,0.49199,1.4024,0.001703,0.001703,0.001703
17,4199.09,1.47311,0.55183,1.31503,0.95549,0.97939,0.98936,0.61383,1.41675,0.47878,1.40089,0.0016832,0.0016832,0.0016832
18,4376.05,1.47424,0.55806,1.30528,0.95996,0.9778,0.98941,0.6141,1.37156,0.46874,1.37036,0.0016634,0.0016634,0.0016634
19,4552.02,1.45701,0.55534,1.29807,0.96706,0.97414,0.98868,0.60603,1.42647,0.48554,1.3973,0.0016436,0.0016436,0.0016436
20,4728.01,1.45591,0.55732,1.30957,0.95983,0.98064,0.98741,0.61744,1.3847,0.47344,1.37947,0.0016238,0.0016238,0.0016238
21,4924.41,1.4579,0.54506,1.30832,0.96804,0.9738,0.98903,0.62499,1.35812,0.45946,1.37116,0.001604,0.001604,0.001604
22,5130.49,1.45296,0.54913,1.29039,0.96641,0.9758,0.99032,0.62596,1.36681,0.4609,1.37628,0.0015842,0.0015842,0.0015842
23,5349.81,1.44165,0.54126,1.28024,0.97069,0.97316,0.99045,0.62904,1.35566,0.4549,1.37339,0.0015644,0.0015644,0.0015644
24,5608.06,1.44067,0.54522,1.29071,0.973,0.97156,0.99051,0.63158,1.35813,0.46529,1.36757,0.0015446,0.0015446,0.0015446
25,5829.24,1.4338,0.5338,1.27907,0.97595,0.97131,0.99079,0.62269,1.37137,0.46143,1.36892,0.0015248,0.0015248,0.0015248
26,6056.06,1.43621,0.53562,1.28979,0.9649,0.97961,0.99032,0.63084,1.37338,0.4497,1.37604,0.001505,0.001505,0.001505
27,6329.59,1.4153,0.52142,1.26606,0.9751,0.97788,0.99203,0.62908,1.36406,0.45064,1.36481,0.0014852,0.0014852,0.0014852
28,6575.32,1.42692,0.52825,1.28661,0.96202,0.97788,0.98884,0.62284,1.36976,0.46309,1.37207,0.0014654,0.0014654,0.0014654
29,7102.9,1.41426,0.52783,1.2766,0.97259,0.96896,0.98962,0.62657,1.36727,0.46203,1.37696,0.0014456,0.0014456,0.0014456
